Quarter,Revenue (USD),Operating Expenses (USD),Net Profit (USD),Profit Margin (%),ARR (USD),Headcount,Customer Count,Churn Rate (%),Cash Reserves (USD)
Q1 2023,980000,890000,90000,9.2,3800000,34,145,3.4,1200000
Q2 2023,1050000,910000,140000,13.3,4050000,36,158,3.1,1450000
Q3 2023,1120000,940000,180000,16.1,4300000,38,171,2.9,1680000
Q4 2023,1260000,990000,270000,21.4,4650000,41,189,2.6,2050000
Q1 2024,1240000,980000,260000,21.0,4900000,42,210,2.1,3100000
Q2 2024,1390000,1040000,350000,25.2,5250000,45,228,2.0,3520000
Q3 2024,1510000,1105000,405000,26.8,5680000,49,247,1.8,3980000
Q4 2024,1670000,1180000,490000,29.3,6150000,53,269,1.7,4600000
Q1 2025,1720000,1230000,490000,28.5,6600000,55,284,1.9,5050000
Q2 2025,1865000,1305000,560000,30.0,7100000,58,301,1.6,5680000
